10/01/1944,"8,790A  "
10/02/1944,"11,800A  "
10/03/1944,"11,900A  "
10/04/1944,"11,100A  "
10/05/1944,"13,800A  "
10/06/1944,"11,300A  "
10/07/1944,"9,920A  "
10/08/1944,"8,990A  "
10/09/1944,"11,200A  "
10/10/1944,"11,400A  "
10/11/1944,"9,600A  "
10/12/1944,"9,090A  "
10/13/1944,"7,490A  "
10/14/1944,"8,890A  "
10/15/1944,"7,790A  "
10/16/1944,"7,980A  "
10/17/1944,"8,380A  "
10/18/1944,"7,590A  "
10/19/1944,"7,300A  "
10/20/1944,"7,130A  "
10/21/1944,"30,200A  "
10/22/1944,"75,800A  "
10/23/1944,"45,400A  "
10/24/1944,"31,500A  "
10/25/1944,"25,600A  "
10/26/1944,"21,200A  "
10/27/1944,"21,300A  "
10/28/1944,"18,700A  "
10/29/1944,"15,500A  "
10/30/1944,"11,100A  "
10/31/1944,"10,100A  "
11/01/1944,"8,890A  "
11/02/1944,"7,980A  "
11/03/1944,"7,790A  "
11/04/1944,"7,690A  "
11/05/1944,"7,590A  "
11/06/1944,"7,200A  "
11/07/1944,"7,110A  "
11/08/1944,"6,640A  "
11/09/1944,"6,180A  "
11/10/1944,"6,820A  "
11/11/1944,"7,400A  "
11/12/1944,"8,180A  "
11/13/1944,"7,200A  "
11/14/1944,"7,690A  "
11/15/1944,"8,140A  "
11/16/1944,"9,920A  "
11/17/1944,"10,400A  "
11/18/1944,"12,200A  "
11/19/1944,"15,000A  "
11/20/1944,"14,200A  "
11/21/1944,"16,600A  "
11/22/1944,"20,700A  "
11/23/1944,"22,300A  "
11/24/1944,"18,100A  "
11/25/1944,"19,200A  "
11/26/1944,"16,300A  "
11/27/1944,"13,500A  "
11/28/1944,"19,200A  "
11/29/1944,"30,600A  "
11/30/1944,"36,900A  "
12/01/1944,"35,100A  "
12/02/1944,"28,100A  "
12/03/1944,"23,900A  "
12/04/1944,"19,800A  "
12/05/1944,"15,500A  "
12/06/1944,"15,100A  "
12/07/1944,"15,500A  "
12/08/1944,"20,500A  "
12/09/1944,"44,200A  "
12/10/1944,"52,300A  "
12/11/1944,"46,300A  "
12/12/1944,"40,600A  "
12/13/1944,"35,100A  "
12/14/1944,"30,600A  "
12/15/1944,"23,900A  "
12/16/1944,"21,500A  "
12/17/1944,"23,100A  "
12/18/1944,"21,500A  "
12/19/1944,"22,300A  "
12/20/1944,"21,500A  "
12/21/1944,"20,400A  "
12/22/1944,"21,500A  "
12/23/1944,"19,200A  "
12/24/1944,"18,400A  "
12/25/1944,"26,600A  "
12/26/1944,"125,000A  "
12/27/1944,"131,000A  "
12/28/1944,"99,500A  "
12/29/1944,"104,000A  "
12/30/1944,"71,400A  "
12/31/1944,"62,700A  "
01/01/1945,"98,600A  "
01/02/1945,"141,000A  "
01/03/1945,"107,000A  "
01/04/1945,"78,100A  "
01/05/1945,"64,800A  "
01/06/1945,"56,400A  "
01/07/1945,"46,300A  "
01/08/1945,"37,800A  "
01/09/1945,"44,400A  "
01/10/1945,"39,600A  "
01/11/1945,"33,300A  "
01/12/1945,"29,000A  "
01/13/1945,"29,800A  "
01/14/1945,"30,600A  "
01/15/1945,"30,600A  "
01/16/1945,"35,100A  "
01/17/1945,"33,300A  "
01/18/1945,"29,000A  "
01/19/1945,"25,600A  "
01/20/1945,"27,200A  "
01/21/1945,"20,400A  "
01/22/1945,"19,300A  "
01/23/1945,"21,500A  "
01/24/1945,"22,300A  "
01/25/1945,"21,500A  "
01/26/1945,"18,800A  "
01/27/1945,"18,100A  "
01/28/1945,"15,200A  "
01/29/1945,"14,400A  "
01/30/1945,"15,200A  "
01/31/1945,"14,300A  "
02/01/1945,"13,600A  "
02/02/1945,"12,500A  "
02/03/1945,"13,200A  "
02/04/1945,"12,700A  "
02/05/1945,"11,200A  "
02/06/1945,"11,900A  "
02/07/1945,"16,800A  "
02/08/1945,"20,100A  "
02/09/1945,"23,900A  "
02/10/1945,"23,100A  "
02/11/1945,"38,400A  "
02/12/1945,"44,400A  "
02/13/1945,"49,300A  "
02/14/1945,"62,700A  "
02/15/1945,"60,600A  "
02/16/1945,"71,400A  "
02/17/1945,"102,000A  "
02/18/1945,"87,300A  "
02/19/1945,"69,200A  "
02/20/1945,"58,500A  "
02/21/1945,"49,300A  "
02/22/1945,"75,300A  "
02/23/1945,"161,000A  "
02/24/1945,"145,000A  "
02/25/1945,"120,000A  "
02/26/1945,"104,000A  "
02/27/1945,"175,000A  "
02/28/1945,"223,000A  "
03/01/1945,"159,000A  "
03/02/1945,"137,000A  "
03/03/1945,"154,000A  "
03/04/1945,"226,000A  "
03/05/1945,"195,000A  "
03/06/1945,"189,000A  "
03/07/1945,"309,000A  "
03/08/1945,"266,000A  "
03/09/1945,"181,000A  "
03/10/1945,"154,000A  "
03/11/1945,"134,000A  "
03/12/1945,"110,000A  "
03/13/1945,"85,000A  "
03/14/1945,"71,400A  "
03/15/1945,"67,000A  "
03/16/1945,"64,800A  "
03/17/1945,"75,800A  "
03/18/1945,"92,100A  "
03/19/1945,"97,000A  "
03/20/1945,"104,000A  "
03/21/1945,"114,000A  "
03/22/1945,"179,000A  "
03/23/1945,"189,000A  "
03/24/1945,"150,000A  "
03/25/1945,"134,000A  "
03/26/1945,"114,000A  "
03/27/1945,"99,500A  "
03/28/1945,"87,300A  "
03/29/1945,"73,600A  "
03/30/1945,"58,500A  "
03/31/1945,"54,300A  "
